Edge,TimeStartEdge,Distance,Accidents
394091,11.23,141,0
5230,11.38,639,0
51673,11.40,1942,0
292460,11.55,160,0
170922,11.68,66,1
17019,20.27,3226,0
54093,20.30,1561,0
54095,20.33,2130,0
10384,20.37,1437,0
122394,20.38,894,0
122382,20.40,2636,0
450721,20.43,126,0
394084,20.48,145,0
59195,20.52,1260,0
252071,20.60,389,0
33586,8.17,184,0
39616,8.35,45,0
243527,8.38,94,0
112452,8.52,70,0
96574,8.67,189,0
8623,15.20,269,0
215238,15.27,134,0
449572,15.45,36,0
376011,15.52,784,0
173277,15.55,1665,0
275821,9.00,89,0
12523,9.12,173,0
12519,18.00,14,0
14514,18.08,20,0
29866,11.05,114,0
297631,11.05,238,0
336021,18.02,597,0
336083,18.07,279,0
293652,18.17,187,0
54650,11.02,81,0
206746,21.08,835,0
400825,21.08,112,0
238980,0.08,11,0
15393,7.12,153,1
29908,11.12,211,0
251799,16.03,82,0
14775,16.08,235,0
331686,11.17,42,0
261946,11.32,75,0
2821,13.12,53,0
170471,0.05,233,0
216404,14.15,30,1
182407,0.13,59,0
182405,0.15,710,0
275663,9.02,59,0
424417,9.03,414,0
210560,10.00,121,0
294957,10.07,236,0
443825,10.10,16,0
417790,10.13,89,0
15669,18.13,151,0
240536,17.02,252,0
440184,11.08,18,0
7220,11.17,58,0
209741,11.18,218,0
209197,11.18,214,0
9445,11.28,53,0
63695,11.30,47,0
439266,18.22,64,0
279114,18.25,107,0
258075,9.05,19,0
209190,20.10,57,0
6527,20.32,23,0
11536,9.23,24,0
12687,17.22,16,0
59198,10.08,1982,0
12474,10.10,184,0
269880,10.40,578,0
2338,16.10,2402,0
159414,16.17,279,0
271235,16.22,239,0
148732,16.28,1005,0
83711,16.33,510,0
5901,16.40,1987,0
417512,10.02,140,0
21069,10.10,27,0
403722,18.03,296,0
55591,2.10,119,0
173277,2.10,1665,0
208539,10.02,1580,1
259888,10.30,177,0
28743,19.00,160,0
12945,19.15,32,0
321469,19.18,78,0
106822,19.38,69,0
63496,10.07,107,0
240468,10.13,28,0
42314,21.00,67,0
183489,10.18,179,0
64310,20.15,237,0
3205,11.15,373,0
255148,11.17,53,0
16944,9.17,146,0
180123,18.08,75,0
393633,11.10,93,0
261547,11.10,65,0
424213,11.15,258,0
393465,11.20,148,0
211643,20.15,215,0
114994,20.20,619,0
187954,12.07,2095,0
245310,12.27,171,0
391633,12.32,79,0
253651,12.38,54,0
6281,23.15,78,0
1597,10.10,55,0
12816,10.12,225,0
246682,10.18,1951,0
5901,10.23,1987,1
394078,10.33,697,0
59190,10.35,924,0
54085,10.53,3218,0
53274,10.60,77,0
124323,15.03,109,0
124234,15.15,474,0
173559,15.23,2439,0
122394,15.37,894,0
11039,15.42,501,0
450732,15.43,238,0
396532,15.45,383,0
394093,15.48,239,0
59195,15.52,1260,0
59198,15.55,1982,0
4714,15.63,82,0
403267,15.73,372,0
47907,10.10,96,0
237935,19.23,28,0
273305,10.18,71,0
6476,8.07,1039,0
6894,8.17,1763,0
278030,16.08,361,0
275795,16.17,196,0
192367,16.28,390,0
120002,16.30,1839,0
184587,21.10,56,0
433396,21.22,149,0
379281,11.07,179,0
404273,18.28,628,0
33580,18.02,27,0
462221,9.25,40,0
416685,16.00,252,1
214880,16.03,246,0
181320,16.08,62,0
208544,7.03,879,0
29903,7.10,117,0
302768,7.33,13,0
208543,18.55,879,0
182405,18.22,710,0
